epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.815,1.04928,4.68984,1.26611,0.28089,0.00889,0.01385,0.01226,1.28005,3.97354,1.246,2.44317e-05,2.44317e-05,2.44317e-05
2,308.153,1.0297,3.02803,1.16769,0.38482,0.02539,0.02737,0.02098,1.14254,2.24008,1.10381,4.6668e-05,4.6668e-05,4.6668e-05
3,461.031,0.92737,2.24656,1.09427,0.38102,0.03583,0.05135,0.03824,1.02834,1.9251,1.0246,6.64623e-05,6.64623e-05,6.64623e-05
4,617.736,0.86086,1.89436,1.06144,0.55349,0.07664,0.08346,0.06177,0.97887,1.67552,0.99225,6.3011e-05,6.3011e-05,6.3011e-05
5,770.955,0.79788,1.67671,1.03065,0.53215,0.10775,0.09818,0.06994,0.96653,1.57284,0.9788,5.9348e-05,5.9348e-05,5.9348e-05
6,926.546,0.75638,1.50339,1.01586,0.57065,0.09582,0.11039,0.07639,0.90086,1.4248,0.95087,5.5685e-05,5.5685e-05,5.5685e-05
7,1079.84,0.73976,1.37663,1.00134,0.61498,0.08797,0.11681,0.07993,0.8846,1.32401,0.94487,5.2022e-05,5.2022e-05,5.2022e-05
8,1234.79,0.73473,1.32625,1.00152,0.64056,0.11266,0.12316,0.08428,0.87165,1.26476,0.93237,4.8359e-05,4.8359e-05,4.8359e-05
9,1389.64,0.71785,1.26085,0.98928,0.594,0.1314,0.13349,0.09479,0.86949,1.24947,0.92791,4.4696e-05,4.4696e-05,4.4696e-05
10,1547,0.69519,1.2294,0.98544,0.59645,0.14105,0.15366,0.10357,0.85568,1.19864,0.92576,4.1033e-05,4.1033e-05,4.1033e-05
11,1701.21,0.7887,1.61457,0.99788,0.61235,0.12544,0.14727,0.09519,0.8731,1.25869,0.94317,3.737e-05,3.737e-05,3.737e-05
12,1853.6,0.77096,1.44185,0.97538,0.58768,0.13766,0.16445,0.11886,0.8621,1.16247,0.92685,3.3707e-05,3.3707e-05,3.3707e-05
13,2009.18,0.74743,1.39867,0.96416,0.67839,0.11941,0.16691,0.12475,0.85936,1.14563,0.91973,3.0044e-05,3.0044e-05,3.0044e-05
14,2162.71,0.73645,1.35264,0.95911,0.75392,0.12451,0.18891,0.14709,0.8294,1.09386,0.90957,2.6381e-05,2.6381e-05,2.6381e-05
15,2317.67,0.73432,1.3374,0.95835,0.68032,0.13963,0.1888,0.14636,0.82908,1.07712,0.91113,2.2718e-05,2.2718e-05,2.2718e-05
16,2470.6,0.7329,1.31627,0.95527,0.74678,0.13266,0.19619,0.15379,0.83364,1.07349,0.90987,1.9055e-05,1.9055e-05,1.9055e-05
17,2623.21,0.72042,1.28159,0.94813,0.79157,0.12378,0.20328,0.15699,0.82426,1.07334,0.90808,1.5392e-05,1.5392e-05,1.5392e-05
18,2778.77,0.72228,1.28194,0.94656,0.79843,0.12154,0.20224,0.15812,0.82616,1.0725,0.90638,1.1729e-05,1.1729e-05,1.1729e-05
19,2931.34,0.72178,1.27265,0.94757,0.7878,0.12683,0.20281,0.15845,0.82042,1.0541,0.90356,8.066e-06,8.066e-06,8.066e-06
20,3083.48,0.72312,1.2664,0.95069,0.78719,0.12523,0.20349,0.15917,0.8184,1.04565,0.90137,4.403e-06,4.403e-06,4.403e-06
